Quadrimestre;Indicador;Resultado 1° Mês do quadrimestre;Resultado 2° Mês do quadrimestre;Resultado 3° Mês do quadrimestre;Resultado 4° Mês do quadrimestre;Resultado do Quadrimestre -  média dos meses;Conceito Obtido do Indicador no quadrimestre - categoria;Conceito Obtido do Indicador no quadrimestre - variável numérica;Peso Indicador;Nota do Indicador
"2025Q3	";"	";"77	";"131	";"167	";"141	";"1	";"ÓTIMO	";"1	";"1	";"51.81	"
"2025Q3	";"	";"100	";"20	";"0	";"40	";"1	";"SUFICIENTE	";"0.5	";"2	";"26.67	"
"2025Q3	";"	";"164	";"100	";"128	";"219	";"1.5	";"BOM	";"0.75	";"2	";"55.55	"
"2025Q3	";"	";"9615	";"9785	";"9565	";"10185	";"0.75	";"BOM	";"0.75	";"1	";"66.58	"
"2025Q3	";"	";"27075	";"26525	";"26425	";"26425	";"0.75	";"BOM	";"0.75	";"1	";"71.16	"
"2025Q3	";"	";"15950	";"15800	";"16250	";"16825	";"0.75	";"BOM	";"0.75	";"1	";"64.83	"
"2025Q3	";"	";"5340	";"5140	";"5020	";"4960	";"1.5	";"BOM	";"0.75	";"2	";"51.46	"
"2025Q3	";"Nota Final da Equipe	";"	";"	";"	";"	";"	";"	";"	";"	";"7.25	"
